OID_,Id,概率,人数,attraction,cid,Shape_Length,Shape_Area
1,1,0.106416677000000,7458,354.715389700000003,2,0.022267746461050,0.000030035260450
2,1,0.106416677000000,7458,608.467698899999959,3,0.022267746461050,0.000030035260450
3,1,0.106416677000000,7458,579.098179400000049,4,0.022267746461050,0.000030035260450
4,1,0.106416677000000,7458,206.758393799999993,32,0.022267746461050,0.000030035260450
5,1,0.106416677000000,7458,608.467698899999959,40,0.022267746461050,0.000030035260450
6,1,0.106416677000000,7458,354.715389700000003,41,0.022267746461050,0.000030035260450
7,1,0.106416677000000,7458,579.098179400000049,42,0.022267746461050,0.000030035260450
8,2,0.179587061000000,12586,561.352571399999988,1,0.028630855846581,0.000048846600697
9,2,0.179587061000000,12586,608.467698899999959,3,0.028630855846581,0.000048846600697
10,2,0.179587061000000,12586,478.089543199999980,5,0.028630855846581,0.000048846600697
11,2,0.179587061000000,12586,536.182610599999975,6,0.028630855846581,0.000048846600697
12,2,0.179587061000000,12586,206.758393799999993,32,0.028630855846581,0.000048846600697
13,2,0.179587061000000,12586,478.089543199999980,38,0.028630855846581,0.000048846600697
14,2,0.179587061000000,12586,561.352571399999988,39,0.028630855846581,0.000048846600697
15,2,0.179587061000000,12586,608.467698899999959,40,0.028630855846581,0.000048846600697
16,2,0.179587061000000,12586,579.098179400000049,42,0.028630855846581,0.000048846600697
17,2,0.179587061000000,12586,478.089543199999980,45,0.028630855846581,0.000048846600697
18,2,0.179587061000000,12586,536.182610599999975,46,0.028630855846581,0.000048846600697
19,3,0.114407203000000,8018,354.715389700000003,2,0.021084983275481,0.000024161602230
20,3,0.114407203000000,8018,579.098179400000049,4,0.021084983275481,0.000024161602230
21,3,0.114407203000000,8018,355.640155300000004,7,0.021084983275481,0.000024161602230
22,3,0.114407203000000,8018,155.611729900000000,29,0.021084983275481,0.000024161602230
23,3,0.114407203000000,8018,341.864479000000017,31,0.021084983275481,0.000024161602230
24,3,0.114407203000000,8018,579.098179400000049,42,0.021084983275481,0.000024161602230
25,3,0.114407203000000,8018,406.784801899999991,43,0.021084983275481,0.000024161602230
26,4,0.106516559000000,7465,536.182610599999975,6,0.024166101181850,0.000029808875348
27,4,0.106516559000000,7465,370.158864300000005,8,0.024166101181850,0.000029808875348
28,4,0.106516559000000,7465,192.760701399999988,9,0.024166101181850,0.000029808875348
29,4,0.106516559000000,7465,155.611729900000000,29,0.024166101181850,0.000029808875348
30,4,0.106516559000000,7465,192.760701399999988,37,0.024166101181850,0.000029808875348
31,4,0.106516559000000,7465,478.089543199999980,38,0.024166101181850,0.000029808875348
32,4,0.106516559000000,7465,579.098179400000049,42,0.024166101181850,0.000029808875348
33,4,0.106516559000000,7465,406.784801899999991,43,0.024166101181850,0.000029808875348
34,4,0.106516559000000,7465,370.158864300000005,44,0.024166101181850,0.000029808875348
35,4,0.106516559000000,7465,536.182610599999975,46,0.024166101181850,0.000029808875348
36,5,0.039281994000000,2753,230.923901599999994,11,0.015042260452673,0.000013338250499
37,5,0.039281994000000,2753,218.691668999999990,12,0.015042260452673,0.000013338250499
38,5,0.039281994000000,2753,184.695255400000008,19,0.015042260452673,0.000013338250499
39,5,0.039281994000000,2753,155.611729900000000,29,0.015042260452673,0.000013338250499
40,5,0.039281994000000,2753,127.476512799999995,30,0.015042260452673,0.000013338250499
41,5,0.039281994000000,2753,370.158864300000005,44,0.015042260452673,0.000013338250499
42,6,0.144899619000000,10155,355.640155300000004,7,0.025133389374873,0.000037861764832
43,6,0.144899619000000,10155,288.589732700000013,10,0.025133389374873,0.000037861764832
44,6,0.144899619000000,10155,218.691668999999990,12,0.025133389374873,0.000037861764832
45,6,0.144899619000000,10155,181.015317000000010,13,0.025133389374873,0.000037861764832
46,6,0.144899619000000,10155,155.611729900000000,29,0.025133389374873,0.000037861764832
47,6,0.144899619000000,10155,127.476512799999995,30,0.025133389374873,0.000037861764832
48,6,0.144899619000000,10155,341.864479000000017,31,0.025133389374873,0.000037861764832
49,6,0.144899619000000,10155,280.866106399999978,33,0.025133389374873,0.000037861764832
50,6,0.144899619000000,10155,246.830465299999986,34,0.025133389374873,0.000037861764832
51,6,0.144899619000000,10155,288.589732700000013,35,0.025133389374873,0.000037861764832
52,7,0.067876661000000,4757,370.158864300000005,8,0.020982050620659,0.000025872901538
53,7,0.067876661000000,4757,192.760701399999988,9,0.020982050620659,0.000025872901538
54,7,0.067876661000000,4757,230.923901599999994,11,0.020982050620659,0.000025872901538
55,7,0.067876661000000,4757,188.778905699999996,14,0.020982050620659,0.000025872901538
56,7,0.067876661000000,4757,184.695255400000008,19,0.020982050620659,0.000025872901538
57,7,0.067876661000000,4757,182.128007499999995,28,0.020982050620659,0.000025872901538
58,7,0.067876661000000,4757,131.690794799999992,36,0.020982050620659,0.000025872901538
59,7,0.067876661000000,4757,370.158864300000005,44,0.020982050620659,0.000025872901538
60,8,0.057289214000000,4015,288.589732700000013,10,0.016706424255713,0.000017081647419
61,8,0.057289214000000,4015,280.866106399999978,15,0.016706424255713,0.000017081647419
62,8,0.057289214000000,4015,55.631755640000002,16,0.016706424255713,0.000017081647419
63,8,0.057289214000000,4015,43.395349189999997,22,0.016706424255713,0.000017081647419
64,8,0.057289214000000,4015,48.483361369999997,23,0.016706424255713,0.000017081647419
65,8,0.057289214000000,4015,280.866106399999978,33,0.016706424255713,0.000017081647419
66,8,0.057289214000000,4015,246.830465299999986,34,0.016706424255713,0.000017081647419
67,9,0.074839833000000,5245,181.015317000000010,13,0.018666612908587,0.000021665439873
68,9,0.074839833000000,5245,280.866106399999978,15,0.018666612908587,0.000021665439873
69,9,0.074839833000000,5245,55.631755640000002,16,0.018666612908587,0.000021665439873
70,9,0.074839833000000,5245,106.877871999999996,17,0.018666612908587,0.000021665439873
71,9,0.074839833000000,5245,31.674192280000000,18,0.018666612908587,0.000021665439873
72,9,0.074839833000000,5245,42.354910120000000,24,0.018666612908587,0.000021665439873
73,9,0.074839833000000,5245,127.476512799999995,30,0.018666612908587,0.000021665439873
74,9,0.074839833000000,5245,280.866106399999978,33,0.018666612908587,0.000021665439873
75,10,0.034373529000000,2409,106.877871999999996,17,0.014823759398716,0.000012291692529
76,10,0.034373529000000,2409,31.674192280000000,18,0.014823759398716,0.000012291692529
77,10,0.034373529000000,2409,184.695255400000008,19,0.014823759398716,0.000012291692529
78,10,0.034373529000000,2409,147.153105900000014,25,0.014823759398716,0.000012291692529
79,10,0.034373529000000,2409,94.538632509999999,26,0.014823759398716,0.000012291692529
80,10,0.034373529000000,2409,127.476512799999995,30,0.014823759398716,0.000012291692529
81,11,0.074511650000000,5222,188.778905699999996,14,0.022009540483827,0.000030081954471
82,11,0.074511650000000,5222,184.695255400000008,19,0.022009540483827,0.000030081954471
83,11,0.074511650000000,5222,144.137714899999992,20,0.022009540483827,0.000030081954471
84,11,0.074511650000000,5222,145.890761700000013,21,0.022009540483827,0.000030081954471
85,11,0.074511650000000,5222,147.153105900000014,25,0.022009540483827,0.000030081954471
86,11,0.074511650000000,5222,94.538632509999999,26,0.022009540483827,0.000030081954471
87,11,0.074511650000000,5222,110.949944599999995,27,0.022009540483827,0.000030081954471
88,11,0.074511650000000,5222,182.128007499999995,28,0.022009540483827,0.000030081954471
